IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/18/2013 0036,10/18/2013 0036,10/18/2013 0036,2013-001218,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/18/2013 0036,10/18/2013 0036,10/18/2013 0036,2013-001218,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/18/2013 0036,10/18/2013 0036,10/18/2013 0036,2013-001218,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,10/18/2013 2150,10/18/2013 2150,10/18/2013 2150,2013-001227,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,10/18/2013 2150,10/18/2013 2150,10/18/2013 2150,2013-001227,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,10/18/2013 2150,10/18/2013 2150,10/18/2013 2150,2013-001227,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : OLD MANSE,10/19/2013 0232,10/19/2013 0232,10/19/2013 0232,2013-001232,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,10/19/2013 1918,10/19/2013 1920,10/19/2013 2015,2013-001236,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,10/19/2013 1918,10/19/2013 1920,10/19/2013 2015,2013-001236,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : GOOD SAMARITAN,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,10/19/2013 1918,10/19/2013 1920,10/19/2013 2015,2013-001236,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE : RAPE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,10/20/2013 1118,10/20/2013 0430,10/20/2013 0945,2013-001246,CLOSED
TRAFFIC LAW VIOLATION : DRIVING UNDER SUSPENSION,CITY OF OXFORD : OXFORD TRENTON  RD SR73,10/21/2013 1645,10/21/2013 1645,10/21/2013 1645,2013-001249,CLOSED.  UTT/UTC ISSUED.
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,10/24/2013 2202,10/24/2013 2202,10/24/2013 2202,2013-001261,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,10/24/2013 2202,10/24/2013 2202,10/24/2013 2202,2013-001261,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/25/2013 2205,10/25/2013 2205,10/25/2013 2205,2013-001277,CLOSED.  CLEARED BY SUMMONS
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,10/27/2013 0131,10/27/2013 0131,10/27/2013 0131,2013-001286,CLOSED.  CLEARED BY SUMMONS
WARRANT SERVICE,OTHER JURISDICTION,10/28/2013 1352,10/24/2013 1200,10/24/2013 1200,2013-001293,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,10/28/2013 1948,10/28/2013 1948,10/28/2013 1948,2013-001297,CLOSED.  CLEARED BY SUMMONS
CRIMINAL DAMAGING OR ENDANGERING,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,10/28/2013 2314,10/28/2013 2314,10/28/2013 2314,2013-001300,CLOSED.  CLEARED BY ARREST
POSSESSING CRIMINAL TOOLS,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,10/28/2013 2314,10/28/2013 2314,10/28/2013 2314,2013-001300,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,10/29/2013 2302,10/29/2013 2302,10/29/2013 2302,2013-001306,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,10/29/2013 2302,10/29/2013 2302,10/29/2013 2302,2013-001306,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : ENGINEERING BLDG,10/30/2013 0143,10/30/2013 0143,10/30/2013 0143,2013-001307,CLOSED.  CLEARED BY ARREST
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,10/30/2013 0207,10/30/2013 0157,10/30/2013 0200,2013-001308,CLOSED.  CLEARED BY ARREST
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,10/30/2013 0224,10/22/2013 2335,10/30/2013 0207,2013-001309,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,11/1/2013 0017,11/1/2013 0017,11/1/2013 0017,2013-001321,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLESTREET STATION,11/1/2013 0049,11/1/2013 0049,11/1/2013 0049,2013-001322,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,11/1/2013 0054,11/1/2013 0054,11/1/2013 0054,2013-001323,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : RICHARD HALL,11/1/2013 0116,11/1/2013 0116,11/1/2013 0116,2013-001326,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : RICHARD HALL,11/1/2013 0116,11/1/2013 0116,11/1/2013 0116,2013-001326,CLOSED.  CLEARED BY ARREST
TRAFFIC LAW VIOLATION : OPERATING A VEHICLE UNDER THE INFLUENCE,CITY OF OXFORD : POPLAR ST,11/1/2013 0142,11/1/2013 0142,11/1/2013 0349,2013-001324,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,11/1/2013 0147,11/1/2013 0147,11/1/2013 0147,2013-001327,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,11/1/2013 1404,11/1/2013 1405,11/1/2013 1405,2013-001331,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : MARY LYON HALL,11/1/2013 2106,11/1/2013 2106,11/1/2013 2106,2013-001334,CLOSED.  CLEARED BY SUMMONS
ASSAULT,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,11/1/2013 2120,11/1/2013 2115,11/1/2013 2115,2013-001335,CLOSED
DATING VIOLENCE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : TALLAWANDA HALL,11/1/2013 2120,11/1/2013 2115,11/1/2013 2115,2013-001335,CLOSED
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,11/1/2013 2202,11/1/2013 2202,11/1/2013 2202,2013-001336,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,11/1/2013 2202,11/1/2013 2202,11/1/2013 2202,2013-001336,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : DISTRICT 3,11/2/2013 1519,11/2/2013 1519,11/2/2013 1519,2013-001342,CLOSED.  CLEARED BY SUMMONS
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : STUDENT ATHLETE DEVELOPMENT CTR,11/2/2013 1543,11/1/2013 1700,11/2/2013 1543,2013-001343,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,11/2/2013 2355,11/2/2013 2355,11/2/2013 2355,2013-001346,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,11/3/2013 0133,11/3/2013 0133,11/3/2013 0133,2013-001347,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,11/3/2013 2128,10/20/2013 0000,10/20/2013 0900,2013-001352,CLOSED.  REFERRED TO OESCR
SEX OFFENSE : SEXUAL IMPOSITION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,11/3/2013 2234,11/3/2013 0130,11/3/2013 0200,2013-001353,CLOSED
SEX OFFENSE,CITY OF OXFORD,11/4/2013 1253,10/26/2013 0000,11/2/2013 0000,2013-001369,CLOSED. REFERRED TO OTHER LE AGENCY
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,11/5/2013 1226,11/3/2013 0000,11/4/2013 0000,2013-001362,OPEN
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,11/6/2013 0029,11/6/2013 0029,11/6/2013 0029,2013-001366,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : SYCAMORE ST,11/8/2013 0320,11/8/2013 0320,11/8/2013 0320,2013-001380,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,11/8/2013 2219,11/8/2013 2219,11/8/2013 2219,2013-001385,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,11/8/2013 2219,11/8/2013 2219,11/8/2013 2219,2013-001385,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,11/8/2013 2249,11/8/2013 2249,11/8/2013 2249,2013-001386,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,11/8/2013 2249,11/8/2013 2249,11/8/2013 2249,2013-001386,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,11/8/2013 2249,11/8/2013 2249,11/8/2013 2249,2013-001386,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,11/9/2013 0013,11/9/2013 0013,11/9/2013 0013,2013-001387,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : CAMPUS AVE,11/9/2013 0302,11/9/2013 0302,11/9/2013 0302,2013-001390,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : BUSINESS : DELTA SIGMA PI BUSINESS FRATERNITY,11/10/2013 0158,11/10/2013 0158,11/10/2013 0158,2013-001408,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,CITY OF OXFORD : BUSINESS : DELTA SIGMA PI BUSINESS FRATERNITY,11/10/2013 0158,11/10/2013 0158,11/10/2013 0158,2013-001408,CLOSED.  CLEARED BY ARREST
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : UPHAM HALL,11/12/2013 1049,11/11/2013 1715,11/12/2013 0825,2013-001424,CLOSED
ASSAULT,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,11/12/2013 1242,11/6/2013 1800,11/6/2013 1800,2013-001426,CLOSED
DATING VIOLENCE,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,11/12/2013 1242,11/6/2013 1800,11/6/2013 1800,2013-001426,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,11/14/2013 0015,11/14/2013 0015,11/14/2013 0015,2013-001432,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : BONHAM HOUSE,11/15/2013 0302,11/15/2013 0302,11/15/2013 0302,2013-001436,CLOSED.  CLEARED BY ARREST
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,11/15/2013 1307,11/8/2013 0000,11/8/2013 0000,2013-001467,UNFOUNDED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,11/15/2013 1923,11/15/2013 1923,11/15/2013 1923,2013-001445,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,11/16/2013 0434,11/16/2013 0434,11/16/2013 0434,2013-001446,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,11/17/2013 0008,11/17/2013 0008,11/17/2013 0008,2013-001454,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : MAPLESTREET STATION,11/17/2013 0041,11/17/2013 0041,11/17/2013 0041,2013-001449,CLOSED.  CLEARED BY SUMMONS
TRAFFIC LAW VIOLATION : OPERATING A VEHICLE UNDER THE INFLUENCE,MIAMI UNIVERSITY : OXFORD CAMPUS : PATTERSON PLACE,11/17/2013 0203,11/17/2013 0203,11/17/2013 0203,2013-001451,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,11/17/2013 0253,11/17/2013 0253,11/17/2013 0253,2013-001453,CLOSED.  CLEARED BY ARREST
MEDICAL : EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,11/17/2013 0839,11/17/2013 0839,11/17/2013 0839,2013-001457,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,11/17/2013 0839,11/17/2013 0839,11/17/2013 0839,2013-001457,CLOSED
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,11/18/2013 0020,11/18/2013 0020,11/18/2013 0020,2013-001458,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : TRAFFICKING IN DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,11/20/2013 1414,11/20/2013 1425,11/20/2013 1425,2013-001472,CLOSED.  CLEARED BY ARREST
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,11/20/2013 1414,11/20/2013 1425,11/20/2013 1425,2013-001472,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : COOK FIELD,11/22/2013 2335,11/22/2013 2335,11/22/2013 2335,2013-001478,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MCFARLAND HALL,11/23/2013 0140,11/23/2013 0140,11/23/2013 0140,2013-001480,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,11/23/2013 0146,11/23/2013 0146,11/23/2013 0146,2013-001481,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,11/23/2013 1956,11/23/2013 1956,11/23/2013 1956,2013-001482,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,11/24/2013 0048,11/24/2013 0048,11/24/2013 0048,2013-001486,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAMILTON HALL,11/24/2013 0048,11/24/2013 0048,11/24/2013 0048,2013-001486,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : LEWIS PLACE,11/24/2013 0051,11/24/2013 0051,11/24/2013 0051,2013-001485,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,11/25/2013 2329,11/25/2013 2329,11/25/2013 2329,2013-001493,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HOTEL AND CONFERENCE CENTER,11/26/2013 0308,11/26/2013 0308,11/26/2013 0308,2013-001494,CLOSED.  CLEARED BY SUMMONS
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,11/26/2013 1334,11/26/2013 1120,11/26/2013 1300,2013-001495,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,11/26/2013 1502,11/23/2013 0000,11/23/2013 0000,2013-001498,OPEN
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,12/4/2013 0147,12/4/2013 0147,12/4/2013 0147,2013-001512,CLOSED.  CLEARED BY ARREST
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/4/2013 1116,11/22/2013 1430,12/4/2013 0700,2013-001518,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : HEALTH SERVICES CENTER,12/5/2013 0506,12/4/2013 1700,12/5/2013 0424,2013-001523,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/5/2013 1710,12/4/2013 1700,12/5/2013 1000,2013-001528,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MCGUFFEY DRIVE,12/6/2013 0240,12/6/2013 0240,12/6/2013 0240,2013-001534,CLOSED.  CLEARED BY ARREST
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/9/2013 1134,12/4/2013 1400,12/9/2013 1115,2013-001548,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/9/2013 1209,10/25/2013 0000,11/8/2013 0000,2013-001549,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/9/2013 1216,11/15/2013 1700,11/18/2013 0800,2013-001550,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/9/2013 1220,5/1/2013 0000,9/1/2013 0000,2013-001556,CLOSED
WARRANT SERVICE,MIAMI UNIVERSITY : OXFORD CAMPUS : ERICKSON DINING HALL,12/12/2013 1025,12/12/2013 1025,12/12/2013 1025,2013-001562,CLOSED.  CLEARED BY ARREST
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,12/14/2013 0932,12/14/2013 0110,12/14/2013 0915,2013-001574,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,12/19/2013 1008,11/1/2012 0000,11/30/2012 0000,2013-001593,OPEN
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,12/19/2013 1008,10/1/2012 0000,10/31/2012 0000,2013-001592,OPEN
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/19/2013 1340,12/12/2013 1800,12/19/2013 1340,2013-001583,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/20/2013 1113,11/26/2013 1730,12/3/2013 0700,2013-001588,CLOSED
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/23/2013 0842,12/19/2013 1300,12/23/2013 0745,2013-001591,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,12/23/2013 0842,12/19/2013 1300,12/23/2013 0745,2013-001591,CLOSED
